,starting_time_stamp,coordinates_of_starting_location,coordinates_of_destination,estimate_travel_time_minutes
9232,2017-04-01 17:27:56, 116.37308 39.912712, 116.37823 39.846802,38.0
9233,2017-04-01 09:47:53, 116.365768 39.889166, 116.346613 39.740926,53.0
9234,2017-04-01 10:08:54, 116.367619 39.887077, 116.368457 39.884172,7.0
9235,2017-04-01 09:56:13, 116.489411 39.99535, 116.486885 40.019423,8.0
9236,2017-04-01 14:40:41, 116.282091 39.944361, 116.320494 39.892471,34.0
9237,2017-04-01 15:53:34, 116.320556 39.892426, 116.31892 39.889342,8.0
9238,2017-04-01 18:11:22, 116.320017 39.892426, 116.350724 39.831404,23.0
9239,2017-04-01 18:40:38, 116.322155 39.892571, 116.492596 39.926797,78.0
9240,2017-04-01 17:16:40, 116.465453 40.157996, 116.532873 40.040844,46.0
9241,2017-04-01 18:05:49, 116.465435 40.157975, 116.532873 40.040844,74.0
9242,2017-04-01 00:29:02, 116.508859 39.925737, 116.484736 39.915551,7.0
9243,2017-04-01 02:30:43, 116.48845 39.917195, 116.468915 39.889693,11.0
9244,2017-04-01 21:30:28, 116.497226 39.918924, 116.484736 39.915551,24.0
9245,2017-04-01 22:59:22, 116.467268 39.911778, 116.478463 39.922258,32.0
9246,2017-04-01 23:49:36, 116.505967 39.929119, 116.507497 39.929506,2.0
9247,2017-04-01 07:42:37, 116.206135 39.949862, 116.352643 40.035981,51.0
9248,2017-04-01 12:22:48, 116.576735 40.043644, 116.601683 40.180569,50.0
9249,2017-04-01 15:05:59, 116.407369 39.942148, 116.401561 39.857972,48.0
9250,2017-04-01 15:42:58, 116.438953 39.959495, 116.428181 39.956733,21.0
9251,2017-04-01 20:43:17, 116.400533 39.956011, 116.430446 39.964095,8.0
9252,2017-04-01 10:16:10, 116.408045 39.848906, 116.454115 39.841322,13.0
9253,2017-04-01 15:20:10, 116.578271 39.91256, 116.50112 39.92128,21.0
9254,2017-04-01 18:53:30, 116.537087 39.912184, 116.578813 39.912677,11.0
9255,2017-04-01 02:55:04, 116.301961 39.980228, 116.278153 40.024108,27.0
9256,2017-04-01 10:28:07, 116.346221 39.882959, 116.354446 39.898292,5.0
9257,2017-04-01 12:13:12, 116.355087 39.886599, 116.354052 39.901714,5.0
9258,2017-04-01 17:01:18, 116.353937 39.901795, 116.354409 39.901959,0.0
9259,2017-04-01 18:02:05, 116.355348 39.886599, 116.362373 39.910895,14.0
9260,2017-04-01 00:14:05, 116.366397 39.872549, 116.353069 39.886866,6.0
9261,2017-04-01 02:44:57, 116.341271 39.810292, 116.348025 39.828997,7.0
9262,2017-04-01 17:21:05, 116.367987 39.938089, 116.326548 39.971977,26.0
9263,2017-04-01 17:44:20, 116.331767 39.949422, 116.326548 39.971977,13.0
9264,2017-04-01 18:48:56, 116.328174 39.971301, 116.37002 39.936847,27.0
9265,2017-04-01 16:27:57, 116.365121 39.98737, 116.380815 39.983892,30.0
9266,2017-04-01 16:57:34, 116.379503 39.980943, 116.34587 39.99834,11.0
9267,2017-04-01 20:55:31, 116.344667 39.995468, 116.265113 40.16799,66.0
9268,2017-04-01 18:01:34, 116.476475 39.905337, 116.468852 39.890598,5.0
9269,2017-04-01 16:22:43, 116.418472 39.815682, 116.300497 40.036083,137.0
9270,2017-04-01 08:33:55, 116.526475 39.898342, 116.487136 39.992611,57.0
9271,2017-04-01 10:06:38, 116.484291 39.915783, 116.487136 39.992611,44.0
9272,2017-04-01 10:12:21, 116.409147 39.914421, 116.403164 39.928798,36.0
9273,2017-04-01 10:34:59, 116.404521 39.920003, 116.403705 39.920109,1.0
9274,2017-04-01 14:35:42, 116.402796 39.928137, 116.433587 39.911171,16.0
9275,2017-04-01 14:55:00, 116.403551 39.928199, 116.433587 39.911171,16.0
9276,2017-04-01 19:23:55, 116.455789 39.686053, 116.42723 39.794175,265.0
9277,2017-04-01 04:37:51, 116.288343 40.03754, 116.327642 39.901932,50.0
9278,2017-04-01 09:15:32, 116.359237 39.933926, 116.356282 39.935798,7.0
9279,2017-04-01 19:25:41, 116.406228 39.902819, 116.656325 39.899788,111.0
9280,2017-04-01 07:45:02, 116.306022 39.89282, 116.28449 39.890059,6.0
9281,2017-04-01 08:14:12, 116.306013 39.892813, 116.480295 40.014051,104.0
9282,2017-04-01 09:17:53, 116.305106 39.892502, 116.368708 39.897944,28.0
9283,2017-04-01 10:03:24, 116.366109 39.895235, 116.369696 39.898666,10.0
9284,2017-04-01 10:34:07, 116.369703 39.897955, 116.424599 39.90941,15.0
9285,2017-04-01 14:37:01, 116.3692 39.898273, 116.332414 39.792291,39.0
9286,2017-04-01 15:55:22, 116.37874 39.895159, 116.283236 39.911723,43.0
9287,2017-04-01 18:48:53, 116.308043 40.155907, 116.329445 40.092707,23.0
9288,2017-04-01 19:48:53, 116.295076 40.154625, 116.50863 39.923871,102.0
9289,2017-04-01 19:51:02, 116.387202 39.985815, 116.381315 39.949423,13.0
9290,2017-04-01 14:24:06, 116.455114 39.960649, 116.653603 40.026063,60.0
9291,2017-04-01 22:02:05, 116.354593 39.920204, 116.212029 39.968269,43.0
9292,2017-04-01 13:31:38, 116.495654 39.994584, 116.540785 40.013541,22.0
9293,2017-04-01 16:52:04, 116.493916 39.986898, 116.152992 39.925404,97.0
9294,2017-04-01 13:28:34, 116.204262 39.92084, 116.435113 39.938739,64.0
9295,2017-04-01 14:20:55, 116.437013 39.935101, 116.207545 39.895405,65.0
9296,2017-04-01 15:09:42, 116.437255 39.934942, 116.297399 39.938178,38.0
9297,2017-04-01 15:30:24, 116.435899 39.935959, 116.297399 39.938178,38.0
9298,2017-04-01 08:07:18, 116.479727 40.004712, 116.486296 40.000852,15.0
9299,2017-04-01 16:01:37, 116.408045 39.848906, 116.346297 39.853996,17.0
9300,2017-04-01 21:31:21, 116.334319 39.795133, 116.422177 39.847756,30.0
9301,2017-04-01 21:26:13, 116.334319 39.795133, 116.422177 39.847756,30.0
9302,2017-04-01 07:27:17, 116.368346 39.83613, 116.365644 39.855394,6.0
9303,2017-04-01 08:18:20, 116.353052 39.874907, 116.367179 39.935206,22.0
9304,2017-04-01 08:39:44, 116.362597 39.933359, 116.367179 39.935206,9.0
9305,2017-04-01 09:37:11, 116.406138 39.869482, 116.301169 39.828655,32.0
9306,2017-04-01 10:14:51, 116.303902 39.836822, 116.301169 39.828655,20.0
9307,2017-04-01 11:14:19, 116.367385 39.834537, 116.416554 39.920044,33.0
9308,2017-04-01 13:59:20, 116.367511 39.834772, 116.413923 39.922021,34.0
9309,2017-04-01 15:01:14, 116.412336 39.899878, 116.413923 39.922021,8.0
9310,2017-04-01 15:18:19, 116.413253 39.921926, 116.41658 39.925068,9.0
9311,2017-04-01 16:21:02, 116.367448 39.834565, 116.278964 39.96921,54.0
9312,2017-04-01 17:36:47, 116.377841 39.858842, 116.394761 39.950328,33.0
9313,2017-04-01 18:06:53, 116.386393 39.940398, 116.396281 39.951725,32.0
9314,2017-04-01 18:19:27, 116.396355 39.951904, 116.278964 39.96921,33.0
9315,2017-04-01 17:20:01, 116.389843 39.851545, 116.622078 40.06104,159.0
9316,2017-04-01 11:19:34, 116.646165 39.899228, 116.578594 39.790729,69.0
9317,2017-04-01 12:52:21, 116.644746 39.898833, 116.578594 39.790729,43.0
9318,2017-04-01 09:31:42, 116.466082 40.01801, 116.503342 39.960461,23.0
9319,2017-04-01 14:35:37, 116.516549 39.959924, 116.503342 39.960461,24.0
9320,2017-04-01 16:30:54, 116.497704 39.971356, 116.467142 40.018327,19.0
9321,2017-04-01 13:41:34, 116.354117 40.002591, 116.335163 39.795444,120.0
9322,2017-04-01 08:20:41, 116.372101 40.08719, 116.467407 39.966582,81.0
9323,2017-04-01 20:33:28, 116.487992 39.878439, 116.487201 39.9067,16.0
9324,2017-04-01 11:05:35, 116.36116 39.938103, 116.350226 39.97407,13.0
9325,2017-04-01 15:50:38, 116.419361 39.863301, 116.43863 39.866547,36.0
9326,2017-04-01 17:05:08, 116.342691 39.984827, 116.384994 39.963781,14.0
9327,2017-04-01 19:24:06, 116.318526 39.986596, 116.349053 39.980908,58.0
9328,2017-04-01 23:22:13, 116.336968 39.90084, 116.404539 39.903732,30.0
9329,2017-04-01 21:41:29, 116.414609 40.070235, 116.210036 40.111421,94.0
9330,2017-04-01 23:12:17, 116.414259 40.070166, 116.37918 39.954759,68.0
9331,2017-04-01 12:39:06, 116.367753 39.911211, 116.361739 39.92207,28.0
9332,2017-04-01 12:49:36, 116.367744 39.911238, 116.361959 39.921404,26.0
9333,2017-04-01 12:06:50, 116.475927 39.921123, 116.224047 40.043696,82.0
9334,2017-04-01 20:06:10, 116.436186 39.947285, 116.434642 39.946801,3.0
9335,2017-04-01 22:55:31, 116.384092 39.907925, 116.321288 39.91684,17.0
9336,2017-04-01 10:00:52, 116.211287 39.942217, 116.221287 39.939288,4.0
9337,2017-04-01 14:22:59, 116.318167 39.879706, 116.312651 39.87604,13.0
9338,2017-04-01 17:27:09, 116.238379 39.892806, 116.211038 39.942504,19.0
9339,2017-04-01 17:50:32, 116.441971 39.733609, 116.341448 39.743333,28.0
9340,2017-04-01 10:29:01, 116.711884 39.945828, 116.458173 39.947169,70.0
9341,2017-04-01 14:56:49, 116.356596 39.93784, 116.350275 40.021145,48.0
9342,2017-04-01 07:58:00, 116.480931 39.950397, 116.444596 39.920982,14.0
9343,2017-04-01 15:57:13, 116.497704 39.971356, 116.378296 40.017781,37.0
9344,2017-04-01 11:40:18, 116.356992 39.903767, 116.422847 39.879869,20.0
9345,2017-04-01 18:49:53, 116.301189 39.875795, 116.303444 39.888391,30.0
9346,2017-04-01 19:09:03, 116.301692 39.884841, 116.303444 39.888391,9.0
9347,2017-04-01 21:01:06, 116.309867 39.883284, 116.314675 39.866389,6.0
9348,2017-04-01 14:34:52, 116.312831 39.844973, 116.391881 39.850596,22.0
9349,2017-04-01 21:27:05, 116.339421 40.004982, 116.594526 40.086274,122.0
9350,2017-04-01 16:39:31, 116.274784 39.903937, 116.337277 39.75672,55.0
9351,2017-04-01 10:46:32, 116.439285 39.983548, 116.375324 40.104193,47.0
9352,2017-04-01 15:42:36, 116.444702 39.982138, 116.437231 39.978901,15.0
9353,2017-04-01 14:25:22, 116.296706 39.966207, 116.294984 39.965012,4.0
9354,2017-04-01 08:22:43, 116.619791 39.813195, 116.569355 39.794096,15.0
9355,2017-04-01 07:05:57, 116.468121 39.89938, 116.373152 39.973617,60.0
9356,2017-04-01 07:33:06, 116.421149 39.975524, 116.373152 39.973617,21.0
9357,2017-04-01 09:18:59, 116.380051 39.859237, 116.381479 39.85353,13.0
9358,2017-04-01 09:49:29, 116.379907 39.859299, 116.454302 39.849424,21.0
9359,2017-04-01 10:48:05, 116.379692 39.859292, 116.398809 39.869672,6.0
9360,2017-04-01 11:52:55, 116.399814 39.870175, 116.445203 39.857141,13.0
9361,2017-04-01 13:21:00, 116.457979 39.853463, 116.337639 39.837456,33.0
9362,2017-04-01 13:33:30, 116.458033 39.853525, 116.416782 39.869388,12.0
9363,2017-04-01 19:01:40, 116.379018 39.858607, 116.307448 39.868197,20.0
9364,2017-04-01 13:25:34, 116.461806 39.959626, 116.46292 39.960982,3.0
9365,2017-04-01 18:54:42, 116.282028 39.826551, 116.302601 39.810222,13.0
9366,2017-04-01 20:36:34, 116.281723 39.826724, 116.320225 39.83748,18.0
9367,2017-04-01 07:35:35, 116.239718 39.965046, 116.270777 39.993385,21.0
9368,2017-04-01 16:12:17, 116.445996 39.869669, 116.321948 39.875391,55.0
9369,2017-04-01 11:05:15, 116.438764 40.055594, 116.476273 39.9911,25.0
9370,2017-04-01 19:15:48, 116.317385 39.914573, 116.401561 39.857972,49.0
9371,2017-04-01 17:55:59, 116.34976 39.992566, 116.350093 39.994093,3.0
9372,2017-04-01 18:54:33, 116.364151 39.994825, 116.391023 39.855749,50.0
9373,2017-04-01 19:19:27, 116.366235 39.994888, 116.384649 39.852503,82.0
9374,2017-04-01 20:37:38, 116.369613 39.992994, 116.371162 39.873079,43.0
9375,2017-04-01 09:55:01, 116.240088 39.686053, 116.201117 40.001644,183.0
9376,2017-04-01 07:32:33, 116.311286 39.974384, 116.282504 39.924195,19.0
9377,2017-04-01 07:46:35, 116.311259 39.974377, 116.282504 39.924195,19.0
9378,2017-04-01 18:18:11, 116.654968 40.175911, 116.362912 39.918557,123.0
9379,2017-04-01 10:57:47, 116.429171 39.893519, 116.375475 40.000037,41.0
9380,2017-04-01 17:56:18, 116.327249 40.07962, 116.42562 39.921983,101.0
9381,2017-04-01 23:09:40, 116.327303 40.079669, 116.473533 39.994633,51.0
9382,2017-04-01 08:44:19, 116.300821 39.913895, 116.351912 39.85098,42.0
9383,2017-04-01 17:14:52, 116.346266 39.980397, 116.432485 39.90982,35.0
9384,2017-04-01 20:20:18, 116.216813 39.895364, 116.470978 39.931294,71.0
9385,2017-04-01 08:18:36, 116.564123 39.941214, 116.566723 39.941686,4.0
9386,2017-04-01 11:32:43, 116.354692 39.86969, 116.489484 39.856617,37.0
9387,2017-04-01 20:30:40, 116.376566 39.972276, 116.351909 39.893934,29.0
9388,2017-04-01 13:14:54, 116.388396 40.108239, 116.433587 39.911171,115.0
9389,2017-04-01 20:50:03, 116.394915 40.114463, 116.390112 39.860878,146.0
9390,2017-04-01 20:25:27, 116.38068 39.876093, 116.350617 39.946412,26.0
9391,2017-04-01 21:14:24, 116.361169 39.875366, 116.421747 40.090016,79.0
9392,2017-04-01 14:57:34, 116.377051 39.938552, 116.228592 39.912152,67.0
9393,2017-04-01 15:19:37, 116.34702 39.940502, 116.1852 39.753988,129.0
9394,2017-04-01 20:30:23, 116.380745 40.08548, 116.115042 39.933039,92.0
9395,2017-04-01 11:34:39, 116.367628 39.942293, 116.359587 39.945393,4.0
9396,2017-04-01 12:34:01, 116.367637 39.9423, 116.351149 40.042459,243.0
9397,2017-04-01 12:51:27, 116.362337 39.941933, 116.359587 39.945393,9.0
9398,2017-04-01 14:52:26, 116.363091 39.927466, 116.360055 39.996435,39.0
9399,2017-04-01 09:07:41, 116.297892 39.838291, 116.379834 39.915919,240.0
9400,2017-04-01 15:56:06, 116.479413 40.108101, 116.461375 40.11803,6.0
9401,2017-04-01 14:46:29, 116.463854 39.966546, 116.279902 40.180569,148.0
9402,2017-04-01 12:34:12, 116.323206 39.990597, 116.320413 39.991543,5.0
9403,2017-04-01 19:35:54, 116.343131 39.996933, 116.403244 39.999371,26.0
9404,2017-04-01 19:51:26, 116.341927 39.998446, 116.403244 39.999371,27.0
9405,2017-04-01 21:24:58, 116.39994 40.000809, 116.344218 39.99854,24.0
9406,2017-04-01 23:55:08, 116.49375 39.919242, 116.501552 39.914639,18.0
9407,2017-04-01 13:02:49, 116.366307 39.950722, 116.396801 40.008056,35.0
9408,2017-04-01 10:48:11, 116.420834 39.981496, 116.375458 39.959323,14.0
9409,2017-04-01 00:42:41, 116.322829 39.885935, 116.401954 39.91744,39.0
9410,2017-04-01 09:05:28, 116.323979 39.887166, 116.401954 39.91744,38.0
9411,2017-04-01 09:44:30, 116.398233 39.914697, 116.401954 39.91744,9.0
9412,2017-04-01 14:03:55, 116.402284 39.915458, 116.412642 39.908286,25.0
9413,2017-04-01 16:40:04, 116.204777 40.180569, 116.304113 39.91455,100.0
9414,2017-04-01 12:34:15, 116.283672 39.95104, 116.280128 39.957628,4.0
9415,2017-04-01 19:00:48, 116.425047 40.067225, 116.316176 39.997741,63.0
9416,2017-04-01 22:18:52, 116.423592 40.067688, 116.316176 39.997741,62.0
9417,2017-04-01 07:59:10, 116.28016 39.915043, 116.334591 39.839505,31.0
9418,2017-04-01 14:58:22, 116.386303 39.870957, 116.413533 39.91754,18.0
9419,2017-04-01 15:38:00, 116.403857 39.915291, 116.413533 39.91754,18.0
9420,2017-04-01 19:27:29, 116.413154 39.916032, 116.417937 39.922012,16.0
9421,2017-04-01 17:06:03, 116.310909 40.070952, 116.311142 40.070987,0.0
9422,2017-04-01 17:48:06, 116.322119 39.998176, 116.328318 40.0027,3.0
9423,2017-04-01 17:59:16, 116.321886 40.004526, 116.328318 40.0027,3.0
9424,2017-04-01 14:24:53, 116.406075 39.851711, 116.422997 40.043221,111.0
9425,2017-04-01 15:11:32, 116.423862 39.983804, 116.422997 40.043221,34.0
9426,2017-04-01 13:11:31, 116.266685 40.047372, 116.392861 39.94196,82.0
9427,2017-04-01 11:03:15, 116.400917 39.810899, 116.477945 39.841559,24.0
9428,2017-04-01 11:58:59, 116.473466 39.840735, 116.449877 39.810923,12.0
9429,2017-04-01 13:06:28, 116.564195 39.926602, 116.396119 39.893864,48.0
9430,2017-04-01 13:51:17, 116.312463 39.982366, 116.318077 39.990486,22.0
9431,2017-04-01 17:38:06, 116.218572 40.071491, 116.223774 40.180569,63.0
9432,2017-04-01 09:38:25, 116.553604 39.821515, 116.381678 39.901506,55.0
9433,2017-04-01 15:50:12, 116.349967 39.917492, 116.315813 39.897678,19.0
9434,2017-04-01 11:49:54, 116.431129 39.976948, 116.310243 40.049675,68.0
9435,2017-04-01 12:54:47, 116.424077 39.974902, 116.310243 40.049675,66.0
9436,2017-04-01 13:21:27, 116.418032 40.058956, 116.310243 40.049675,48.0
9437,2017-04-01 16:59:47, 116.311924 40.059515, 116.428079 39.977684,70.0
9438,2017-04-01 17:14:36, 116.344083 39.998688, 116.428079 39.977684,39.0
9439,2017-04-01 13:56:19, 116.348727 39.941021, 116.482271 39.954949,37.0
9440,2017-04-01 13:54:55, 116.359624 39.886862, 116.459766 39.881683,27.0
9441,2017-04-01 17:03:02, 116.460117 39.881651, 116.605623 39.882537,40.0
9442,2017-04-01 17:32:04, 116.460117 39.881651, 116.605623 39.882537,40.0
9443,2017-04-01 06:31:39, 116.476116 39.899027, 116.45797 39.924948,17.0
9444,2017-04-01 06:56:28, 116.476116 39.899027, 116.480095 39.907876,22.0
9445,2017-04-01 10:48:58, 116.253651 40.075922, 116.377579 40.070656,55.0
9446,2017-04-01 09:58:42, 116.379431 40.007821, 116.187977 40.097043,62.0
9447,2017-04-01 10:02:28, 116.109374 39.94508, 116.361343 39.868546,75.0
9448,2017-04-01 23:31:47, 116.576969 40.072008, 116.369415 39.929863,123.0
9449,2017-04-01 19:05:14, 116.432809 39.930122, 116.324335 39.980435,35.0
9450,2017-04-01 06:48:19, 116.591719 39.920314, 116.393251 39.884923,56.0
9451,2017-04-01 08:06:30, 116.598115 39.921981, 116.58491 39.929935,31.0
9452,2017-04-01 08:19:20, 116.585601 39.929824, 116.367313 39.886834,100.0
9453,2017-04-01 09:20:26, 116.365292 39.894744, 116.367313 39.886834,19.0
9454,2017-04-01 19:27:21, 116.346904 39.98057, 116.45713 40.001151,31.0
9455,2017-04-01 19:00:22, 116.31664 39.75915, 116.321437 39.758928,8.0
9456,2017-04-01 09:36:41, 116.654968 40.175911, 116.613916 40.180569,11.0
9457,2017-04-01 22:33:15, 116.420403 39.94992, 116.40564 39.835826,41.0
9458,2017-04-01 10:08:50, 116.474292 39.8908, 116.433587 39.911171,21.0
9459,2017-04-01 14:49:34, 116.369945 39.922431, 116.567484 39.754858,81.0
9460,2017-04-01 16:37:57, 116.5085 39.941311, 116.567484 39.754858,69.0
9461,2017-04-01 11:25:41, 116.467492 39.903061, 116.433587 39.911171,15.0
9462,2017-04-01 12:20:32, 116.318059 39.978952, 116.319227 39.986368,4.0
9463,2017-04-01 08:12:35, 116.44596 39.9922, 116.455618 39.940209,18.0
9464,2017-04-01 08:53:43, 116.445987 39.992103, 116.460564 39.937549,20.0
9465,2017-04-01 09:14:57, 116.451493 39.942328, 116.452185 39.942541,1.0
9466,2017-04-01 09:55:32, 116.48384 39.98508, 116.501812 39.98975,5.0
9467,2017-04-01 11:33:00, 116.445654 39.992234, 116.247173 39.928613,59.0
9468,2017-04-01 13:53:44, 116.330896 39.962606, 116.302057 39.995755,14.0
9469,2017-04-01 16:19:32, 116.315319 39.932425, 116.328522 39.938709,28.0
9470,2017-04-01 16:28:46, 116.426673 39.794848, 116.335163 39.795444,40.0
9471,2017-04-01 09:25:33, 116.127277 39.735953, 116.465651 39.898498,110.0
9472,2017-04-01 21:51:21, 116.670617 39.893858, 116.711884 39.859506,16.0
9473,2017-04-01 08:06:20, 116.445322 40.08877, 116.345816 39.89416,121.0
9474,2017-04-01 09:19:51, 116.334319 39.795133, 116.32726 39.686053,39.0
9475,2017-04-01 12:03:31, 116.399931 39.863647, 116.39911 39.863557,1.0
9476,2017-04-01 15:44:55, 116.379845 39.887852, 116.491176 39.908695,31.0
9477,2017-04-01 22:15:26, 116.547289 39.947693, 116.625387 40.059871,46.0
9478,2017-04-01 00:17:00, 116.561132 39.768253, 116.711884 39.875557,91.0
9479,2017-04-01 07:12:19, 116.562093 39.763989, 116.711884 39.873526,91.0
9480,2017-04-01 07:39:54, 116.525442 39.806752, 116.711884 39.898489,98.0
9481,2017-04-01 07:49:33, 116.510144 39.809468, 116.711884 39.901983,104.0
9482,2017-04-01 08:33:38, 116.469208 39.899449, 116.477553 39.914019,9.0
9483,2017-04-01 17:57:09, 116.468391 39.911771, 116.568313 39.686053,137.0
9484,2017-04-01 17:15:06, 116.370538 39.995116, 116.262991 40.036622,53.0
9485,2017-04-01 17:50:16, 116.370538 39.995116, 116.44398 39.882467,45.0
9486,2017-04-01 15:24:23, 116.300291 39.878287, 116.332436 39.852833,12.0
9487,2017-04-01 15:01:03, 116.358213 39.947832, 116.32638 39.922647,12.0
9488,2017-04-01 18:34:05, 116.464792 40.023393, 116.419702 40.005365,14.0
9489,2017-04-01 18:40:21, 116.711884 40.137247, 116.669185 40.135232,11.0
9490,2017-04-01 13:32:59, 116.125292 39.739158, 116.316764 39.876382,72.0
9491,2017-04-01 00:14:41, 116.496813 39.900868, 116.496634 39.902686,4.0
9492,2017-04-01 15:46:30, 116.498277 39.90331, 116.572562 40.022782,47.0
9493,2017-04-01 16:33:20, 116.498547 39.902819, 116.572562 40.022782,48.0
9494,2017-04-01 16:45:24, 116.291577 39.837002, 116.295196 39.94799,40.0
9495,2017-04-01 21:35:43, 116.44181 39.947486, 116.384147 39.872189,50.0
9496,2017-04-01 21:52:14, 116.441235 39.91487, 116.384156 39.872196,35.0
9497,2017-04-01 07:55:10, 116.357809 39.9284, 116.321948 39.875391,34.0
9498,2017-04-01 08:28:46, 116.357818 39.928421, 116.36406 39.9961,24.0
9499,2017-04-01 09:33:17, 116.357836 39.928441, 116.492677 39.894083,63.0
9500,2017-04-01 12:30:00, 116.391639 39.949913, 116.315957 39.933876,34.0
9501,2017-04-01 13:38:46, 116.402419 39.944146, 116.344687 39.944313,25.0
9502,2017-04-01 16:18:29, 116.344676 39.943731, 116.492677 39.894083,71.0
9503,2017-04-01 09:45:48, 116.268275 40.012131, 116.43359 39.911107,93.0
9504,2017-04-01 10:02:37, 116.316873 40.005707, 116.43359 39.911107,75.0
9505,2017-04-01 18:09:17, 116.107577 39.94573, 116.110849 39.943184,8.0
9506,2017-04-01 10:39:31, 116.576304 40.0101, 116.566638 39.914041,55.0
9507,2017-04-01 10:52:23, 116.578442 40.008201, 116.566638 39.914041,54.0
9508,2017-04-01 11:45:43, 116.571247 39.912968, 116.566989 39.913549,8.0
9509,2017-04-01 20:32:50, 116.597028 39.918198, 116.576036 40.009738,53.0
9510,2017-04-01 16:39:57, 116.422931 40.118453, 116.322583 40.05867,35.0
9511,2017-04-01 13:01:00, 116.465724 39.835302, 116.354424 40.066555,89.0
9512,2017-04-01 13:04:43, 116.456632 39.836151, 116.354424 40.066555,140.0
9513,2017-04-01 14:37:05, 116.465724 39.835302, 116.354424 40.066555,89.0
9514,2017-04-01 14:34:27, 116.456695 39.836178, 116.354 40.066121,140.0
9515,2017-04-01 19:15:42, 116.456048 39.835382, 116.354424 40.066555,141.0
9516,2017-04-01 10:46:58, 116.438809 39.860171, 116.442543 39.864838,13.0
9517,2017-04-01 10:22:09, 116.351467 39.940322, 116.501347 39.920804,42.0
9518,2017-04-01 09:23:23, 116.341496 39.96806, 116.18725 40.180569,88.0
9519,2017-04-01 11:43:57, 116.563009 39.949194, 116.283094 40.035399,134.0
9520,2017-04-01 19:54:59, 116.424338 39.928822, 116.548599 40.124126,78.0
9521,2017-04-01 01:07:44, 116.427607 40.071518, 116.431563 40.080439,22.0
9522,2017-04-01 00:53:56, 116.272785 39.859168, 116.461764 39.946414,61.0
9523,2017-04-01 09:53:34, 116.321383 39.89237, 116.461764 39.946414,69.0
9524,2017-04-01 10:45:38, 116.457135 39.931318, 116.459228 39.942632,27.0
9525,2017-04-01 14:31:20, 116.460297 39.940965, 116.41725 39.914206,24.0
9526,2017-04-01 17:02:45, 116.417645 39.916786, 116.280828 39.878336,64.0
9527,2017-04-01 18:20:31, 116.313541 39.888924, 116.280828 39.878336,15.0
9528,2017-04-01 14:42:27, 116.527849 39.863571, 116.483653 39.903884,30.0
9529,2017-04-01 15:38:53, 116.583904 39.910616, 116.473747 39.924863,31.0
9530,2017-04-01 21:15:32, 116.433536 39.809953, 116.384794 39.871009,41.0
9531,2017-04-01 15:18:44, 116.391127 39.913328, 116.622472 40.059554,83.0
9532,2017-04-01 17:35:20, 116.596581 39.929447, 116.403545 39.797574,71.0
9533,2017-04-01 19:13:47, 116.400917 39.810899, 116.622472 40.059554,109.0
9534,2017-04-01 19:40:22, 116.400917 39.810899, 116.599341 39.935564,71.0
9535,2017-04-01 19:58:45, 116.400917 39.810899, 116.622472 40.059554,109.0
9536,2017-04-01 20:13:50, 116.400917 39.810899, 116.622472 40.059554,109.0
9537,2017-04-01 20:35:17, 116.549265 39.936637, 116.622472 40.059554,48.0
9538,2017-04-01 22:27:51, 116.61989 40.047862, 116.622472 40.059554,28.0
9539,2017-04-01 17:04:22, 116.376314 39.952658, 116.560592 39.916412,52.0
9540,2017-04-01 18:51:07, 116.364708 39.94844, 116.40617 39.976813,15.0
9541,2017-04-01 19:26:03, 116.3858 39.962412, 116.40617 39.976813,7.0
9542,2017-04-01 19:43:49, 116.643192 39.764773, 116.711884 39.754585,19.0
9543,2017-04-01 10:24:22, 116.677687 39.888364, 116.663417 39.896179,32.0
9544,2017-04-01 11:18:28, 116.662425 39.896875, 116.663417 39.896179,2.0
9545,2017-04-01 13:01:34, 116.46416 39.876425, 116.365208 39.815518,56.0
9546,2017-04-01 14:41:36, 116.464052 39.877, 116.365208 39.815518,56.0
9547,2017-04-01 17:59:27, 116.414384 39.87637, 116.419793 39.879423,12.0
9548,2017-04-01 20:03:21, 116.150696 39.762415, 116.37319 39.878436,74.0
9549,2017-04-01 08:35:08, 116.366307 39.956453, 116.372784 39.982864,64.0
9550,2017-04-01 02:13:43, 116.6213 39.93275, 116.36051 40.038818,82.0
9551,2017-04-01 20:47:45, 116.334319 39.795133, 116.314153 39.799478,5.0
9552,2017-04-01 07:43:38, 116.214188 39.948592, 116.353499 39.987585,66.0
9553,2017-04-01 09:36:16, 116.600702 39.845548, 116.481572 39.939071,75.0
9554,2017-04-01 06:09:33, 116.437237 39.94445, 116.434187 39.910068,12.0
9555,2017-04-01 18:01:40, 116.438225 39.944817, 116.579506 39.705275,151.0
9556,2017-04-01 10:36:43, 116.32538 39.902964, 116.339788 40.041468,50.0
9557,2017-04-01 15:19:08, 116.711884 40.063758, 116.677608 40.048831,10.0
9558,2017-04-01 20:09:50, 116.363729 39.951648, 116.337277 39.75672,70.0
9559,2017-04-01 09:35:42, 116.446723 39.950936, 116.480295 40.014051,39.0
9560,2017-04-01 19:51:43, 116.246581 39.978952, 116.433653 39.909817,92.0
9561,2017-04-01 20:18:54, 116.3003 39.953874, 116.433653 39.909817,64.0
9562,2017-04-01 20:54:47, 116.44251 39.930786, 116.433653 39.909817,12.0
9563,2017-04-01 18:56:51, 116.377204 40.015855, 116.283128 39.918738,43.0
